Sr #,Events,Date,Membership #,Amount,Paid,Comments
1,Paryushan - 2022,8/23/2022,1009,$72.00,,
2,Paryushan - 2022,8/23/2022,1212,"$1,008.00",,
3,Paryushan - 2022,8/24/2022,1092,$108.00,,
4,Paryushan - 2022,8/24/2022,1046,$351.00,,
5,Paryushan - 2022,8/24/2022,1123,$108.00,,
6,Paryushan - 2022,8/24/2022,1014,$172.00,,
7,Paryushan - 2022,8/24/2022,1049,$108.00,,
8,Paryushan - 2022,8/24/2022,1188,$108.00,,
9,Paryushan - 2022,8/24/2022,,$108.00,,
10,Paryushan - 2022,8/24/2022,1152,$155.00,,
11,Paryushan - 2022,8/24/2022,1114,$301.00,,
12,Paryushan - 2022,8/24/2022,1161,$61.00,,
13,Paryushan - 2022,8/25/2022,1219,$108.00,,
14,Paryushan - 2022,8/25/2022,1013,$306.00,,
15,Paryushan - 2022,8/25/2022,1101,$221.00,,
16,Paryushan - 2022,8/25/2022,1208,$108.00,,
17,Paryushan - 2022,8/25/2022,1028,$108.00,,
18,Paryushan - 2022,8/25/2022,1034,$201.00,,
19,Paryushan - 2022,8/25/2022,1034,$351.00,,
20,Paryushan - 2022,8/25/2022,1034,$301.00,,
21,Paryushan - 2022,8/25/2022,1219,$251.00,,
22,Paryushan - 2022,8/26/2022,1219,$301.00,,
23,Paryushan - 2022,8/26/2022,1085,$351.00,,
24,Paryushan - 2022,8/26/2022,,$603.00,,
25,Paryushan - 2022,8/26/2022,,$216.00,,
26,Paryushan - 2022,8/26/2022,1014,$151.00,,
27,Paryushan - 2022,8/26/2022,1019,$108.00,,
28,Paryushan - 2022,8/26/2022,1019,$351.00,,
29,Paryushan - 2022,8/26/2022,1019,$301.00,,
30,Paryushan - 2022,8/26/2022,,$108.00,,
31,Paryushan - 2022,8/26/2022,,$108.00,,
32,Paryushan - 2022,8/26/2022,1010,$405.00,,
33,Paryushan - 2022,8/26/2022,1028,$121.00,,
34,Paryushan - 2022,8/26/2022,,$201.00,,
35,Paryushan - 2022,8/26/2022,1155,$351.00,,
36,Paryushan - 2022,8/26/2022,1208,$108.00,,
37,Paryushan - 2022,8/26/2022,1009,$351.00,,
38,Paryushan - 2022,8/26/2022,1219,$221.00,,
39,Paryushan - 2022,8/26/2022,,$108.00,,
40,Paryushan - 2022,8/26/2022,1110,$211.00,,
41,Paryushan - 2022,8/26/2022,1110,$306.00,,
42,Paryushan - 2022,8/26/2022,1008,$207.00,,
43,Paryushan - 2022,8/26/2022,1144,$401.00,,
44,Paryushan - 2022,8/26/2022,1024,$108.00,,
45,Paryushan - 2022,8/26/2022,1163,$108.00,,
46,Paryushan - 2022,8/27/2022,1065,$400.00,,
47,Paryushan - 2022,8/27/2022,1037,$301.00,,
48,Paryushan - 2022,8/27/2022,,$351.00,,
49,Paryushan - 2022,8/27/2022,1123,$351.00,,
50,Paryushan - 2022,8/27/2022,,$351.00,,
153,Paryushan - 2022,8/29/2022,1009,$850.50,,
248,Paryushan - 2022,9/1/2022,1009,$252.00,,
280,Paryushan - 2022,9/1/2022,1009,$252.00,,
367,Paryushan - 2022,9/1/2022,1009,"$1,668.00",,
